,artist,country,title,link,year,period,1_most_frequent_word,1_frequency_of_the_word,1_theme_of_the_word,2_most_frequent_word,2_frequency_of_the_word,2_theme_of_the_word,3_most_frequent_word,3_frequency_of_the_word,3_theme_of_the_word,4_most_frequent_word,4_frequency_of_the_word,4_theme_of_the_word,5_most_frequent_word,5_frequency_of_the_word,5_theme_of_the_word,6_most_frequent_word,6_frequency_of_the_word,6_theme_of_the_word,7_most_frequent_word,7_frequency_of_the_word,7_theme_of_the_word,8_most_frequent_word,8_frequency_of_the_word,8_theme_of_the_word,9_most_frequent_word,9_frequency_of_the_word,9_theme_of_the_word,10_most_frequent_word,10_frequency_of_the_word,10_theme_of_the_word
14,Michael Bublé,Canada,It's Beginning To Look A Lot Like Christmas,https://www.azlyrics.com/lyrics/michaelbuble/itsbeginningtolookalotlikechristmas.html,2011,2010's,it's,8,miscellaneous,look,6,miscellaneous,christmas,6,celebratory,lot,5,miscellaneous,like,5,miscellaneous,beginning,5,miscellaneous,toys,2,miscellaneous,store,2,miscellaneous,start,2,miscellaneous,sight,2,miscellaneous
15,Pentatonix,The United States of America,"Mary, Did You Know?",https://www.azlyrics.com/lyrics/pentatonix/marydidyouknow.html,2014,2010's,know,19,miscellaneous,mary,16,mythical,baby,10,mythical,boy,9,mythical,lamb,2,mythical,kiss,2,sentimental,day,2,miscellaneous,child,2,miscellaneous,blind,2,miscellaneous,you've,1,miscellaneous
16,John & Yoko,United Kingdom,Happy Xmas (War Is Over),https://www.azlyrics.com/lyrics/johnlennon/happyxmaswarisover.html,1971,1970's,christmas,12,celebratory,war,10,miscellaneous,happy,5,sentimental,year,5,miscellaneous,want,5,miscellaneous,new,5,miscellaneous,hope,5,sentimental,let's,4,miscellaneous,merry,3,sentimental/celebratory,it's,3,miscellaneous
17,Justin Bieber,Canada,Mistletoe,https://www.azlyrics.com/lyrics/justinbieber/mistletoe.html,2011,2010's,mistletoe,14,traditions/seasonal,shawty,10,miscellaneous,oh,10,miscellaneous,i'mma,6,miscellaneous,winter,4,seasonal,snow,4,seasonal,playing,4,miscellaneous,love,4,sentimental,year,2,miscellaneous,wanna,2,miscellaneous
18,Elvis Presley,The United States of America,Blue Christmas,https://www.azlyrics.com/lyrics/elvispresley/bluechristmas.html,1957,1950's,blue,12,miscellaneous,christmas,6,celebratory,i'll,4,miscellaneous,you'll,2,miscellaneous,white,2,miscellaneous,start,2,miscellaneous,right,2,miscellaneous,doin,2,miscellaneous,you're,2,miscellaneous,won't,1,miscellaneous
19,Ariana Grande,The United States of America,Santa Tell Me,https://www.azlyrics.com/lyrics/arianagrande/santatellme.html,2014,2010's,tell,20,miscellaneous,won't,18,miscellaneous,year,14,miscellaneous,santa,14,mythical,really,11,miscellaneous,oh,6,miscellaneous,love,8,sentimental,you're,6,miscellaneous,make,5,miscellaneous,fall,5,miscellaneous
20,Paul McCartney,United Kingdom,Wonderful Christmastime,https://www.azlyrics.com/lyrics/aaronwatson/wonderfulchristmastime.html,1979,1970's,time,12,traditions/seasonal,christmas,11,celebratory,wonderful,10,sentimental,simply,10,miscellaneous,having,10,miscellaneous,ding,8,celebratory,dong,6,celebratory,year,3,miscellaneous,we're,2,miscellaneous,tonight,2,miscellaneous
21,Trans-Siberian Orchestra,The United States of America,Christmas Canon,https://www.azlyrics.com/lyrics/transsiberianorchestra/christmascanon.html,1998,1990's,christmas,5,celebratory,brings,5,miscellaneous,night,4,miscellaneous,merry,4,sentimental/celebratory,joy,4,sentimental,waiting,1,miscellaneous,snow,1,seasonal,pray,1,mythical,lives,1,miscellaneous,knows,1,miscellaneous
22,Kelly Clarkson,The United States of America,Underneath The Tree,https://www.azlyrics.com/lyrics/kellyclarkson/underneaththetree.html,2013,2010's,you're,13,miscellaneous,underneath,11,miscellaneous,tree,10,miscellaneous,need,9,sentimental,yeah,7,celebratory,day,6,miscellaneous,christmas,5,celebratory,wasn't,4,miscellaneous,tight,4,sentimental,snow,4,seasonal
23,Andy Williams,The United States of America,Happy Holiday / The Holiday Season,https://www.azlyrics.com/lyrics/andywilliams/happyholiday.html,1943,1940's,holiday,10,celebratory,coming,7,miscellaneous,happy,6,sentimental,chimney,6,miscellaneous,he'll,5,miscellaneous,season,4,seasonal,it's,4,miscellaneous,santa,3,celebratory/mythical,old,3,traditions,christmas,3,celebratory/seasonal
24,Thurl Ravenscroft,The United States of America,"You're A Mean One, Mr. Grinch",https://www.lyrics.com/lyric/32101974/You%27re+a+Mean+One%2C+Mr.+Grinch,1966,1960's,you're,12,miscellaneous,mr,12,miscellaneous,grinch,12,mythical/celebratory,soul,3,mythical,seasick,2,sentimental,heart's,2,sentimental,crooked,2,miscellaneous,crocodile,2,miscellaneous,you've,1,miscellaneous,wouldn't,1,miscellaneous
25,Eagles,The United States of America,Please Come Home For Christmas,https://www.azlyrics.com/lyrics/eagles/pleasecomehomeforchristmas.html,1978,1970's,christmas,9,celebratory,home,3,traditions,happy,3,sentimental,years,2,miscellaneous,there'll,2,miscellaneous,sorrow,2,sentimental,sad,2,sentimental,pain,2,sentimental,oh,2,sentimental,night,2,miscellaneous
26,Pentatonix,The United States of America,Hallelujah,https://www.azlyrics.com/lyrics/pentatonix/hallelujah.html,1984,1980's,hallelujah,29,traditions/mythical,it's,6,miscellaneous,i've,6,miscellaneous,ya,4,miscellaneous,mmmm,4,miscellaneous,seen,3,miscellaneous,broken,3,sentimental,victory,2,celebratory,somebody,2,miscellaneous,march,2,celebratory/seasonal
27,Vince Guaraldi Trio,The United States of America,Christmastime Is Here,https://www.stlyrics.com/lyrics/acharliebrownchristmas/christmastimeishere.htm,1965,1960's,time,4,traditions/seasonal,year,3,miscellaneous,christmas,3,celebratory,air,3,miscellaneous,yuletide,2,mythical/celebratory,spirit,2,mythical,sleigh,2,seasonal,oh,2,sentimental,near,2,miscellaneous,memories,2,traditions
28,Gene Autry,The United States of America,Here Comes Santa Claus (Right Down Santa Claus Lane),https://www.azlyrics.com/lyrics/geneautry/herecomessantaclaus.html,1947,1940's,santa,21,celebratory/seasonal,claus,21,celebratory/mythical,comes,15,miscellaneous,right,6,miscellaneous,tonight,5,miscellaneous,lane,5,miscellaneous,cause,5,miscellaneous,children,3,miscellaneous,bells,3,celebratory,vixen,2,mythical
29,Johnny Mathis,The United States of America,It's Beginning To Look A Lot Like Christmas,https://www.azlyrics.com/lyrics/johnnymathis/itsbeginningtolookalotlikechristmas.html,1951,1950's,look,5,miscellaneous,lot,4,miscellaneous,like,4,sentimental,it's,4,miscellaneous,christmas,4,celebratory,beginning,4,miscellaneous,start,2,miscellaneous,ev'rywhere,2,miscellaneous,wish,1,sentimental,walk,1,miscellaneous
30,Eartha Kitt with Henri Rene And His Orchestra,The United States of America,Santa Baby,https://www.azlyrics.com/lyrics/earthakitt/santababy.html,1953,1950's,santa,12,celebratory/seasonal,baby,9,sentimental,tonight,8,miscellaneous,hurry,8,sentimental,chimney,7,miscellaneous,really,3,miscellaneous,year,2,miscellaneous,tree,2,miscellaneous,think,2,miscellaneous,little,2,miscellaneous
31,Darlene Love,The United States of America,Christmas (Baby Please Come Home),https://www.azlyrics.com/lyrics/darlenelove/christmasbabypleasecomehome.html,1963,1960's,home,8,traditions,come,8,miscellaneous,baby,7,sentimental,it's,3,miscellaneous,christmas,3,celebratory,year,2,miscellaneous,watching,2,miscellaneous,they're,2,miscellaneous,singing,2,celebratory,remember,2,traditions
32,Band Aid,United Kingdom,Do They Know It's Christmas?,https://www.azlyrics.com/lyrics/midgeure/dotheyknowitschristmas.html,1984,1980's,christmas,13,celebratory,time,12,traditions,world,11,miscellaneous,it's,11,miscellaneous,know,7,miscellaneous,feed,7,miscellaneous,let,6,miscellaneous,there's,2,miscellaneous,oh,2,sentimental,here's,2,miscellaneous
33,Perry Como And The FontaneSisters With Mitchell Ayres And His Orchestra,The United States of America,It's Beginning To Look A Lot Like Christmas,https://www.azlyrics.com/lyrics/perrycomo/itsbeginningtolookalotlikechristmas.html,1951,1950's,ha,14,miscellaneous,look,6,miscellaneous,lot,5,miscellaneous,like,5,sentimental,it's,5,miscellaneous,christmas,5,celebratory,beginning,5,miscellaneous,start,4,miscellaneous,wish,2,sentimental,walk,2,miscellaneous
34,Vince Guaraldi Trio,The United States of America,Linus And Lucy (Peanuts Theme),NA,1964,1960's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,The Beach Boys,The United States of America,Little Saint Nick,https://www.azlyrics.com/lyrics/beachboys/littlesaintnick.html,1963,1960's,saint,17,mythical,nick,17,seasonal/miscellaneous,little,14,miscellaneous,christmas,9,celebratory,run,8,miscellaneous,oooooooo,6,sentimental,ooooo,6,sentimental,it's,6,miscellaneous,year,5,miscellaneous,time,4,traditions
36,Faith Hill,The United States of America,Where Are You Christmas?,https://www.azlyrics.com/lyrics/faithhill/whereareyouchristmas.html,2000,2000's,christmas,9,celebratory,love,3,sentimental,heart,3,sentimental,used,2,miscellaneous,oh,2,sentimental,know,2,miscellaneous,i'm,2,miscellaneous,feel,2,sentimental,can't,2,miscellaneous,away,2,miscellaneous
37,Chuck Berry,The United States of America,Run Rudolph Run,https://www.azlyrics.com/lyrics/chuckberry/runrudolphrun.html,1958,1950's,run,18,miscellaneous,rudolph,11,mythical/celebratory,make,8,miscellaneous,santa,6,celebratory/mythical,like,6,sentimental,town,4,miscellaneous,tell ,4,miscellaneous,santa's,4,celebratory/mythical,round,4,miscellaneous,merry,4,celebratory
38,Bing Crosby With Jud Conlon'sRhytmaires & John Scott Trotter And His Orchestra,The United States of America,It's Beginning To Look A Lot Like Christmas,https://www.azlyrics.com/lyrics/bingcrosby/itsbeginningtolookalotlikechristmas.html,1951,1950's,look,6,miscellaneous,lot,5,miscellaneous,like,5,sentimental,it's,5,miscellaneous,christmas,5,celebratory,beginning,5,miscellaneous,start,4,miscellaneous,wish,2,sentimental,walk,2,miscellaneous,wait,2,miscellaneous
39,Frank Sinatra,The United States of America,"Jingle Bells",https://www.azlyrics.com/lyrics/sammydavisjr/jinglebells.html,1857,1850's,jingle,24,celebratory/traditions,bells,18,celebratory,way,10,miscellaneous,sleigh,10,seasonal,ride,10,miscellaneous,open,10,miscellaneous,horse,10,miscellaneous,fun,10,sentimental,oh,8,sentimental,la,3,miscellaneous
40,Perry Como With Mitchell Ayres And His Orchestra,The United States of America,(There's No Place Like) Home For The Holidays,https://www.azlyrics.com/lyrics/perrycomo/theresnoplacelikehomefortheholidays.html,1954,1950's,home,11,traditions,holidays,7,celebratory,sweet,4,sentimental,pennsylvania,4,miscellaneous,far,4,miscellaneous,can't,4,miscellaneous,beat,4,sentimental,there's,3,miscellaneous,roam,3,miscellaneous,pumpkin,3,celebratory/mythical
41,Bruce Springsteen,United States Of America,Santa Claus Is Comin' To Town,https://www.azlyrics.com/lyrics/brucespringsteen/santaclausiscomintotown.htm,1934,1930's,town,25,miscellaneous,santa,25,miscellaneous,coming,25,miscellaneos,claus,25,miscellaneos,you'd,13,miscellaneous,better,13,miscellaneous,good,8,NA,you're,4,miscellaneous,sake,4,miscellaneous,knows,4,NA
42,Jackson 5,United States Of America,Santa Claus Is Comin' To Town,https://www.azlyrics.com/lyrics/jackson5/santaclausiscomintotown.html,1934,1930's,town,20,celebratory,santa,20,miscellaneous,comin,20,miscellaneos,claus,20,miscellaneos,better,6,celebratory,oh,3,celebratory,watch,2,celebratory/mythical,tum,2,celebratory,toot,2,miscellaneous,telling,2,traditions
43,Pentatonix,United States Of America,Little Drummer Boy,https://www.azlyrics.com/lyrics/pentatonix/littledrummerboy.html,1958,1950's,pum,81,traditions/mythical,rum,26,miscellaneous,pa,19,mythical,oh,9,mythical,drum,6,celebratory/traditions,king,4,celebratory/traditions,come,3,miscellaneous,told,2,miscellaneous,played,2,miscellaneous,newborn,2,traditions
44,Michael Buble,Canada,Holly Jolly Christmas,https://www.azlyrics.com/lyrics/michaelbuble/hollyjollychristmas.html,1964,1960's,jolly,6,miscellaneous,holly,6,celebratory,christmas,6,miscellaneos,ho,4,miscellaneos,year,3,miscellaneous,waits,2,miscellaneous,somebody,2,miscellaneous,oh,2,celebratory,misletoe,2,miscellaneous,know,2,traditions
45,Mariah Carey,United States Of America,Christmas (Baby Please Come Home),https://www.azlyrics.com/lyrics/mariahcarey/christmasbabypleasecomehome.html,1963,1960's,christmas,26,celebratory,ah,8,NA,yeah,7,miscellaneos,home,7,miscellaneos,come,7,sentimental,baby,7,sentimental,Sii,6,mythical,it's,3,miscellaneous,year,2,sentimental/celebratory,woo,2,mythical
46,Jimmy Durante,United States Of America,Frosty The Snowman,https://genius.com/Jimmy-durante-frosty-the-snowman-lyrics,1950,1950's,thump,8,traditions/mythical,frosty,7,celebratory/mythical,snowman,5,mythical,thumpety,4,mythical,eyes,4,mythical,day,4,mythical,story,3,miscellaneous,life,3,miscellaneous,children,3,miscellaneous,came,3,miscellaneous
47,Frank Sinatra,United States of America,Have Yourself A Merry Little Christmas,https://www.azlyrics.com/lyrics/franksinatra/haveyourselfamerrylittlechristmas.html,1944,1940's,merry,6,traditions/seasonal,christmas,6,miscellaneous,little,4,miscellaneos,days,4,miscellaneos,ooh,3,sentimental,yore,2,sentimental,years,2,miscellaneous,troubles,2,miscellaneous,star,2,miscellaneous,shining,2,mythical
48,Michael Buble,Canada,Have Yourself A Merry Little Christmas,https://www.azlyrics.com/lyrics/michaelbuble/haveyourselfamerrylittlechristmas.html,1944,1940's,merry,4,celebratory/seasonal,little,4,miscellaneous,christmas,4,seasonal,years,2,seasonal,troubles,2,miscellaneous,start,2,miscellaneous,shining,2,celebratory,near,2,celebratory,highest,2,miscellaneous,hang,2,NA
49,Donny Hathaway,United States of America,This Christmas,https://www.azlyrics.com/lyrics/donnyhathaway/thischristmas.htm,1970,1970's,christmas,14,miscellaneous,merry,9,mythical,shake,4,traditions,hey,4,traditions,hand,4,seasonal,yeah,3,seasonal,we're,3,miscellaneous,we're,3,NA,special,3,miscellaneous,night,3,miscellaneos
50,"Kristen Bell, Agatha Lee Monn & Katie Lopez",United States of America,Do You Want To Build A Snowman,https://www.azlyrics.com/lyrics/kristenbell/doyouwanttobuildasnowman.html,2013,2010's,tick,5,celebratory/seasonal,snowman,5,miscellaneous,wanna,4,traditions,tock,4,traditions,build,4,miscellaneous,just,3,miscellaneous,you've,2,celebratory,it's,2,celebratory/mythical,i'm,2,miscellaneous,elsa,2,sentimental
51,Carpenters,United Kingdom,Merry Christmas Darling,https://www.azlyrics.com/lyrics/carpenters/merrychristmasdarling.html,1970,1970's,wish,7,traditions,christmas,5,miscellaneous,merry,3,NA,new,2,NA,i'm,2,NA,darling,2,NA,year,11,miscellaneous,we're,1,miscellaneous,TRUE,1,sentimental,tree,1,traditions
52,Michael Buble,Canada,All I Want For Christmas Is You,https://www.azlyrics.com/lyrics/michaelbuble/alliwantforchristmasisyou.html,1994,1990's,want,8,celebratory,christmas,8,celebratory,just,6,celebratory,won't,5,celebratory,know,5,traditions/mythical,wish,3,traditions/mythical,make,3,miscellaneous,underneath,2,miscellaneous,TRUE,2,traditions,there's,2,miscellaneos
53,Leroy Anderson,United States of America,Sleigh Ride,https://www.songlyrics.com/leroy-anderson/sleigh-ride-lyrics/,1948,1940's,sleigh,9,miscellaneous,it's,8,miscellaneous,weather,7,miscellaneos,ride,7,miscellaneos,lovely,7,traditions/seasonal,yap,6,traditions/seasonal,giddy,5,miscellaneous,come,5,mythical,come,5,miscellaneous,pop,4,mythical
54,Burl Ives,United States of America,Rudolph The Red-Nosed Reindeer,https://www.azlyrics.com/lyrics/burlives/rudolphtherednosedreindeer.html,1949,1940's,reindeer,6,NA,rudolph,4,celebratory,say,2,traditions,red,2,traditions,nosed,2,miscellaneous,nose,2,miscellaneous,you'll,1,celebratory,won't,1,miscellaneous,vixen,1,sentimental,used,1,celebratory
55,Elvis Presley,United States Of America,Here Comes Santa Claus,https://www.azlyrics.com/lyrics/elvispresley/herecomessantaclausrightdownsantaclauslane.html,1947,1940's,santa,18,mythical,claus,17,miscellaneous,comes,13,mythical,tonight,5,mythical,lane,4,miscellaneous,cause,4,miscellaneous,riding,3,NA,right,2,miscellaneous,right,2,miscellaneous,just,2,traditions
56,Dean Martin,United States Of America,Baby It's Cold Outside,https://www.azlyrics.com/lyrics/deanmartin/babyitscoldoutside.html,1949,1940's,baby,10,celebratory,it's,9,miscellaneous,cold,7,miscellaneos,outside,6,miscellaneos,really,5,celebratory,say,4,celebratory,just,3,celebratory/mythical,can't,3,celebratory/mythical,just,3,miscellaneous,stay,3,miscellaneos
57,"Frank Sinatra, The B. Swanson Quartet",The United States of America,"Let It Snow, Let It Snow, Let It Snow",https://www.azlyrics.com/lyrics/franksinatra/letitsnowletitsnowletitsnow.html,1945,1940's,snow,12,miscellaneous,let,11,miscellaneous,i'll,4,miscellaneos,good,4,miscellaneos,way,3,traditions/seasonal,we're,2,traditions/seasonal,warm,2,miscellaneous,tight,2,miscellaneous,storm,2,celebratory,slowly,2,miscellaneos
58,Taylor Swift,United States Of America,Last Christmas,https://www.azlyrics.com/lyrics/taylorswift/lastchristmas.html,1984,1980's,gave,12,miscellaneous,year,10,celebratory,christmas,8,NA,special,7,NA,ill,7,miscellaneous,heart,7,miscellaneous,tears,6,miscellaneous,save,6,miscellaneous,day,6,sentimental,away,6,miscellaneos
59,Gayla Peevey,United States Of America,I Want A Hippopotamus For Christmas,https://www.lyrics.com/lyric/28696437/I+Want+a+Hippopotamus+for+Christmas,1953,1950's,hippopotamus,8,celebratory/traditions,want,6,NA,christmas,6,miscellaneos,like,4,miscellaneos,hippopotamuses,4,miscellaneous,hippo,4,miscellaneous,surprise,2,mythical,standing,2,mythical,stairs,2,miscellaneous,says,2,traditions
60,The Harry Simeone Chorale,United States Of America,The Little Drummer Boy,https://www.lyrics.com/lyric/35867714/Harry+Simeone+Chorale/The+Little+Drummer+Boy,1958,1950's,pum,63,traditions,rum,21,celebratory/mythical,pa,15,celebratory,king,3,celebratory,drum,3,miscellaneous,played,2,miscellaneous,come,2,miscellaneous,bring,2,miscellaneous,told,1,celebratory,time,1,miscellaneos
61,"Idina Menzel
Duet  with 
Michael Buble",The United States of America,"Baby, It’s Cold Outside",https://www.azlyrics.com/lyrics/idinamenzel/babyitscoldoutside.html,2014,2010's,baby,10,miscellaneous,it's,9,miscellaneous,cold,7,miscellaneos,outside,6,miscellaneos,really,5,celebratory,say,4,celebratory,just,4,miscellaneous,what's,3,miscellaneous,think,3,sentimental,stay,3,NA
62,Drifters featuring Clyde McPhatter and Bill Pinkney,The United States of America,White Christmas,https://www.azlyrics.com/lyrics/drifters/whitechristmas.html,1956,1950's,white,6,celebratory,days,6,miscellaneous,christmas,6,miscellaneos,bells,5,miscellaneos,dreaming,4,celebratory/traditions,snow,3,celebratory/traditions,jingle,3,NA,write,2,NA,used,2,sentimental,treetops,2,traditions
63,Nat King Cole,The United States of America,Deck The Halls,https://www.azlyrics.com/lyrics/natkingcole/deckthehall.html,1963,1960's,la,96,traditions/mythical,fa,12,mythical,the,9,mythical,yule,3,mythical,of,3,miscellaneous,and,3,miscellaneous,year,2,celebratory/mythical,we,2,celebratory/mythical,tide,2,NA,with,1,traditions
64,N'Sync,The United States of America,"Merry Christmas, Happy Holidays",https://www.azlyrics.com/lyrics/nsync/merrychristmashappyholidays.html,1998,1990's,christmas,33,miscellaneous,merry,27,miscellaneous,time,14,miscellaneos,it's,13,miscellaneos,holidays,13,sentimental,happy,13,sentimental,love,9,miscellaneous,year,6,miscellaneous,cause,4,miscellaneous,wonderful,3,traditions
65,Jackson 5,The United States of America,I Saw Mommy Kissing Santa Claus,https://www.azlyrics.com/lyrics/jackson5/isawmommykissingsantaclaus.html,1970,1970's,santa,10,celebratory,kissing,10,miscellaneous,clause,10,miscellaneos,mommy,9,miscellaneos,saw,4,mythical,night,4,mythical,daddy,4,miscellaneous,believe,4,miscellaneous,underneath,3,miscellaneous,seen,3,mythical
66,Vinci Guaraldi Trio,The United States of America,O Tannenbaum,https://genius.com/Vince-guaraldi-trio-o-tannenbaum-lyrics,1965,1960's,o,15,miscellaneous,tannenbaum,14,celebratory,du,5,mythical,wie,4,mythical,sehr,4,miscellaneous,mir,4,sentimental,kannst,4,mythical,gefallen,4,mythical,treu,3,miscellaneous,sind,3,miscellaneous
67,Daryl Hole John Oates,The United States of America,Jingle Bell Rock,https://www.azlyrics.com/lyrics/halloates/jinglebellrock.html,2006,2000's,jingle,18,celebratory,bell,12,miscellaneous,time,5,miscellaneos,rock,4,miscellaneos,that's,3,celebratory,bells,3,miscellaneous,horse,2,miscellaneous,swing,1,miscellaneous,swell,1,miscellaneous,square,1,mythical
68,Michael Buble,Canada,Christmas (Baby Please Come Home),https://www.azlyrics.com/lyrics/michaelbuble/christmasbabypleasecomehome.html,2011,2010's,christmas,23,traditions/mythical,love,22,celebratory,oh,7,seasonal,home,5,seasonal,it's,3,celebratory/traditions,come,3,seasonal,baby,3,miscellaneous,year,2,miscellaneous,yeah,2,sentimental,watching,2,NA
69,Michael Buble Shania Twain,Canada,White Christmas,https://www.azlyrics.com/lyrics/michaelbuble/whitechristmas210509.html,2011,2010's,white,8,traditions/seasonal,christmas,8,miscellaneous,days,7,traditions,i'm,5,traditions,dreaming,5,miscellaneous,write,3,miscellaneous,snow,3,celebratory,merry,3,celebratory,christmas,3,miscellaneous,card,3,miscellaneos
70,Jonas Brothers,The United States of America,Like It’s Christmas,https://www.azlyrics.com/lyrics/jonasbrothers/likeitschristmas.html,2019,2010's,oh,20,celebratory/seasonal,day,17,miscellaneous,like,12,traditions,it's,12,traditions,i'm,11,sentimental,christmas,9,NA,wanna,7,miscellaneous,make,7,miscellaneous,feelin,7,miscellaneous,feel,7,sentimental
71,Bing Crosby,The United States of America,Mele Kalikimaka,https://www.azlyrics.com/lyrics/bingcrosby/melekalikimaka.html,1949,1940's,christmas,13,miscellaneous,say,7,miscellaneous,merry,7,miscellaneos,mele,7,miscellaneos,kalikimaka,7,mythical,day,7,traditions/mythical,bright,7,celebratory,way,4,celebratory,sun,4,miscellaneous,stars,4,traditions
